from_state,to_state,transition_count,replay_count,player_count,pct_of_all_transitions
191,29,6790,4272,5286,0.0464
25,66,6753,4201,5129,0.0461
88,201,6718,4290,5166,0.0459
360,364,6682,3754,4398,0.0456
90,27,6670,4293,5217,0.0455
366,368,6648,4099,4926,0.0454
212,178,6435,3908,4721,0.0439
183,196,6368,4031,4829,0.0435
178,226,6351,4115,4937,0.0434
56,20,6332,3968,4729,0.0432
28,42,6319,3869,4681,0.0431
79,178,6142,4023,4808,0.0419
26,68,6105,3953,4686,0.0417
26,43,6097,2097,2204,0.0416
16,24,6072,3931,4683,0.0415
240,88,6061,3628,4201,0.0414
18,178,6050,3594,4190,0.0413
199,39,5982,3914,4711,0.0408
26,69,5958,3729,4440,0.0407
199,178,5919,3766,4467,0.0404
178,212,5912,3632,4253,0.0404
199,29,5852,3934,4687,0.04
2,12,5736,4109,4956,0.0392
179,233,5719,3454,4077,0.039
87,27,5670,3832,4567,0.0387
44,45,5644,3444,4059,0.0385
42,16,5643,3440,3974,0.0385
18,182,5619,3124,3587,0.0384
14,63,5601,3698,4323,0.0382
20,88,5586,3758,4481,0.0381
200,178,5515,3641,4310,0.0377
89,183,5513,3825,4514,0.0376
29,350,5501,3351,3855,0.0376
73,39,5489,3569,4140,0.0375
87,191,5446,3723,4424,0.0372
26,27,5408,3592,4217,0.0369
183,90,5385,3779,4341,0.0368
14,178,5382,3264,3762,0.0367
263,42,5329,3563,4172,0.0364
197,14,5308,3582,4188,0.0362
216,220,5284,3344,3813,0.0361
44,18,5252,3495,4090,0.0359
180,14,5220,3621,4229,0.0356
1,12,5205,3876,4589,0.0355
50,14,5201,3492,4082,0.0355
17,14,5200,3353,3859,0.0355
42,44,5196,3379,4068,0.0355
74,360,5175,3469,3984,0.0353
40,57,5151,3420,3965,0.0352
26,28,5140,3493,4075,0.0351
363,14,5087,3483,4055,0.0347
42,29,5083,3609,4229,0.0347
184,186,5065,3185,3631,0.0346
41,14,5008,3396,3929,0.0342
63,178,4994,3351,3924,0.0341
24,88,4958,3544,4107,0.0339
56,18,4945,3317,3831,0.0338
15,39,4887,3041,3464,0.0334
235,178,4787,3189,3657,0.0327
201,178,4774,3333,3874,0.0326
42,14,4768,3231,3720,0.0326
87,199,4764,3441,4012,0.0325
42,88,4751,3505,4034,0.0324
29,236,4681,3124,3538,0.032
368,29,4672,3234,3709,0.0319
21,182,4671,2648,2963,0.0319
89,27,4657,3448,3967,0.0318
44,20,4656,3172,3650,0.0318
25,88,4630,3334,3868,0.0316
43,88,4593,3329,3847,0.0314
179,234,4591,3006,3481,0.0313
187,226,4555,3275,3748,0.0311
38,29,4550,3230,3684,0.0311
199,90,4536,3275,3717,0.031
67,29,4535,3259,3758,0.031
71,14,4482,3236,3711,0.0306
14,182,4469,2901,3254,0.0305
23,19,4443,3145,3600,0.0303
42,182,4421,2996,3445,0.0302
356,88,4404,3232,3593,0.0301
29,65,4366,2905,3223,0.0298
26,344,4348,2348,2583,0.0297
90,89,4313,3207,3674,0.0294
14,29,4305,3093,3528,0.0294
20,214,4300,3036,3473,0.0294
65,85,4286,3078,3586,0.0293
357,14,4285,3127,3593,0.0293
19,24,4237,3011,3431,0.0289
212,18,4233,3012,3433,0.0289
42,360,4228,3127,3531,0.0289
56,15,4220,2888,3275,0.0288
